name,original,reduced,Seed
nu25-pr12.mp,4.045,3.967,1
nu25-pr12.mp,3.642,3.644,12
nu25-pr12.mp,3.154,3.123,123
nu25-pr12.mp,2.727,2.665,1234
nursesched-medium-hint03.mp,1082.451,3602.472,0
nursesched-medium-hint03.mp,1366.175,3266.249,1
nursesched-medium-hint03.mp,889.05,3600.529,12
nursesched-medium-hint03.mp,646.455,909.209,123
nursesched-medium-hint03.mp,728.045,3626.838,1234
nursesched-sprint02.mp,6.526,2.468,0
nursesched-sprint02.mp,7.077,5.326,1
nursesched-sprint02.mp,5.267,3.472,12
nursesched-sprint02.mp,6.627,3.455,123
nursesched-sprint02.mp,6.206,3.306,1234
peg-solitaire-a3.mp,55.558,33.394,0
peg-solitaire-a3.mp,126.709,6.419,1
peg-solitaire-a3.mp,49.154,23.471,12
peg-solitaire-a3.mp,56.523,50.322,123
peg-solitaire-a3.mp,78.621,19.048,1234
physiciansched3-3.mp,729.11,1629.898,0
physiciansched3-3.mp,1150.976,2290.596,1
physiciansched3-3.mp,1341.36,2139.589,12
physiciansched3-3.mp,1075.765,2412.186,123
physiciansched3-3.mp,973.329,1678.329,1234
physiciansched6-2.mp,2.602,2.602,0
physiciansched6-2.mp,2.728,2.728,1
physiciansched6-2.mp,2.752,17.708,12
physiciansched6-2.mp,2.925,15.71,123
physiciansched6-2.mp,1.62,1.92,1234
piperout-08.mp,4.204,3.479,0
piperout-08.mp,3.592,3.811,1
piperout-08.mp,5.923,2.67,12
piperout-08.mp,2.434,2.323,123
piperout-08.mp,2.948,2.368,1234
piperout-27.mp,3.513,3.67,0
piperout-27.mp,3.122,3.278,1
piperout-27.mp,3.126,5.079,12
piperout-27.mp,2.736,3.146,123
piperout-27.mp,2.73,2.996,1234
proteindesign121hz512p9.mp,3490.97,3608.111,0
proteindesign121hz512p9.mp,3602.134,3608.839,1
proteindesign121hz512p9.mp,3601.341,3607.982,12
proteindesign121hz512p9.mp,3176.647,3607.004,123
proteindesign121hz512p9.mp,3551.649,2713.921,1234
proteindesign122trx11p8.mp,2258.921,3605.973,0
proteindesign122trx11p8.mp,3602.347,3606.067,1
proteindesign122trx11p8.mp,2032.762,3605.774,12
proteindesign122trx11p8.mp,1871.043,3604.982,123
proteindesign122trx11p8.mp,2078.906,3604.962,1234
radiationm18-12-05.mp,776.29,104.974,0
radiationm18-12-05.mp,206.084,677.931,1
radiationm18-12-05.mp,320.415,226.761,12
radiationm18-12-05.mp,269.417,457.218,123
radiationm18-12-05.mp,3600.998,735.97,1234
rail01.mp,392.207,522.842,0
rail01.mp,650.693,328.01,1
rail01.mp,621.691,416.149,12
rail01.mp,395.703,310.853,123
rail01.mp,547.393,373.738,1234
rd-rplusc-21.mp,526.712,658.787,0
rd-rplusc-21.mp,350.709,325.308,1
rd-rplusc-21.mp,458.96,332.586,12
rd-rplusc-21.mp,489.296,618.012,123
rd-rplusc-21.mp,428.459,680.768,1234
rocI-4-11.mp,42.313,42.483,0
rocI-4-11.mp,93.987,27.892,1
rocI-4-11.mp,38.926,34.162,12
rocI-4-11.mp,30.252,52.8,123
rocI-4-11.mp,51.953,35.226,1234
rocII-5-11.mp,651.556,1246.867,0
rocII-5-11.mp,791.435,1865.008,1
rocII-5-11.mp,548.078,397.875,12
rocII-5-11.mp,1459.951,997.954,123
rocII-5-11.mp,1077.03,879.724,1234
roi2alpha3n4.mp,136.706,72.566,0
roi2alpha3n4.mp,100.974,54.782,1
roi2alpha3n4.mp,114.759,53.171,12
roi2alpha3n4.mp,110.061,55.76,123
roi2alpha3n4.mp,103.575,54.537,1234
roi5alpha10n8.mp,3601.905,1523.588,0
roi5alpha10n8.mp,3602.225,1125.225,1
roi5alpha10n8.mp,3601.183,1383.903,12
roi5alpha10n8.mp,3601.44,1591.296,123
roi5alpha10n8.mp,3602.041,1275.302,1234
roll3000.mp,14.441,11.167,0
roll3000.mp,13.995,7.93,1
roll3000.mp,5.318,10.436,12
roll3000.mp,10.287,9.989,123
roll3000.mp,10.987,11.083,1234
satellites2-40.mp,226.694,134.222,0
satellites2-40.mp,374.101,70.576,1
satellites2-40.mp,365.66,166.964,12
satellites2-40.mp,196.807,169.296,123
satellites2-40.mp,190.079,132.428,1234
satellites2-60-fs.mp,345.915,206.383,0
satellites2-60-fs.mp,241.345,314.837,1
