name,org,"rule, 1"
rail02.mp,3602.659,3605.325
rail02.mp,3601.695,3601.858
rail02.mp,3601.854,3601.844
rail02.mp,3601.682,3601.693
rail02.mp,3601.154,3601.213
s100.mp,3602.207,3605.802
s100.mp,3601.659,3602.006
s100.mp,3602.027,3604.271
s100.mp,3604.537,3601.842
s100.mp,3605.798,3601.934
s250r10.mp,3601.354,3606.607
s250r10.mp,3602.64,3602.567
s250r10.mp,3602.646,3603.216
s250r10.mp,3601.503,3601.947
s250r10.mp,3603.247,3603.678
