physiciansched6-2.mp,2.3951,480260,183108,42,93294,195636,60519,42,76993,29019,0,0,0,89652,8,89652,28094,8,35660,9673,0,0,0
piperout-08.mp,0.2032,44960,14299,70,4752,14163,4769,70,10511,14,0,0,0,4740,14,4608,25,14,62,4,0,0,0
piperout-27.mp,0.2026,54663,17019,58,4752,16915,4769,58,6152,14,0,0,0,6104,12,6004,25,12,31,4,0,0,0
proteindesign121hz512p9.mp,32.4454,629450,159054,0,470094,159054,236742,0,183248111,0,0,0,585,78,0,78,212,0,233567,0,0,0,2
proteindesign122trx11p8.mp,18.3234,503428,127248,0,375877,127248,179398,0,134835527,0,0,0,1222,66,0,66,177,0,196465,0,0,0,2
radiationm18-12-05.mp,0.0932,96150,22032,1964,1022,22032,1022,1964,0,0,0,0,0,11016,982,11016,259,982,0,0,0,0,0
rail01.mp,2.7635,392087,290938,5107,0,238615,0,5107,0,19715,0,0,0,37397,872,36931,0,872,0,178,0,0,0
rail02.mp,11.3327,756229,512849,11565,0,518162,0,11565,0,33928,0,0,0,75363,2396,75363,0,2396,0,559,0,0,0
rd-rplusc-21.mp,0.0034,852385,452,0,484,452,387,0,212,0,0,0,0,44,0,44,78,0,43,0,0,0,0
rocI-4-11.mp,0.0122,27384,6732,2112,0,6732,0,2112,0,0,0,0,0,2816,1056,2816,0,1056,0,0,0,0,0
rocII-5-11.mp,0.3284,303292,88231,77275,49732,75583,16583,73527,0,0,130896,0,0,771,715,674,84,663,0,0,6546,0,0
roi2alpha3n4.mp,0.0447,878813,1826,0,13122,482,324,0,25596,512,0,0,0,913,0,121,162,0,12798,128,0,0,0
roi5alpha10n8.mp,1.8435,2370225,7626,0,211250,1764,1300,0,419900,2270,0,0,0,3813,0,447,650,0,209950,565,0,0,0
roll3000.mp,0.0017,29387,606,0,901,625,770,0,885,0,43,0,89,150,0,150,276,0,329,0,14,0,29
s100.mp,22.3837,1777918,364768,8354,58956,364768,7976,8354,0,0,0,0,0,650,329,650,2,329,0,0,0,0,0
s250r10.mp,38.9122,1318608,389624,46308,45108,389624,3068,46308,1198136,0,0,0,0,5748,1741,5748,3,1741,2560,0,0,0,0
satellites2-40.mp,0.2376,283669,48658,1837,0,48438,0,1837,0,0,0,0,0,11823,58,11813,0,58,0,0,0,0,0
satellites2-60-fs.mp,0.2418,125049,48658,1837,0,48438,0,1837,0,0,0,0,0,11823,58,11813,0,58,0,0,0,0,0
sct2.mp,0.0061,23644,2208,1104,0,2208,0,1104,0,0,0,0,0,1104,319,1104,0,319,0,0,0,0,0
sing326.mp,0.4013,268174,136056,4935,0,136056,0,4935,0,0,0,0,0,12595,1645,12595,0,1645,0,0,0,0,0
sing44.mp,0.4406,281261,138973,4452,0,138973,0,4452,0,0,0,0,0,13334,1484,13334,0,1484,0,0,0,0,0
splice1k1.mp,1.7966,1761017,0,0,879006,0,6502,0,1745004,0,0,0,0,0,0,0,3251,0,872502,0,0,0,0
supportcase18.mp,0.2274,28921,14400,0,14520,14400,4440,0,92004,0,0,0,3290,120,0,120,120,0,9005,0,0,0,770
supportcase22.mp,0.0335,2228829,1280,0,3750,1280,580,0,6340,0,0,0,0,640,0,640,290,0,3170,0,0,0,0
supportcase33.mp,0.3073,211916,27963,0,1596,27906,1398,0,598,120,0,0,0,218,0,168,7,0,3,32,0,0,0
supportcase6.mp,6.1379,584977,384446,57437,0,384446,0,57437,0,0,0,0,0,168,111,168,0,111,0,0,0,0,0
supportcase7.mp,0.0016,2845546,898,10,30,884,16,13,19,0,0,11,0,449,5,442,5,4,6,0,0,3,0
swath1.mp,0.0094,34966,0,2089,0,0,0,2089,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0
swath3.mp,0.0125,34966,0,2464,0,0,0,2464,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0
tbfp-network.mp,2.0475,215838,75708,2620,0,75708,0,2620,0,0,0,0,0,58,16,58,0,16,0,0,0,0,0
traininstance2.mp,0.4738,41532,7935,52,2548,7935,2565,52,3006,0,0,0,0,2702,17,2702,29,17,6,0,0,0,0
traininstance6.mp,0.4346,32786,6238,29,2030,6238,2041,29,2505,0,0,0,0,2108,9,2108,17,9,5,0,0,0,0
triptim1.mp,0.1857,515437,126702,24,0,126254,0,24,0,756,0,0,0,2066,8,2052,0,8,0,13,0,0,0
uccase9.mp,0.015,332317,0,4236,0,0,0,4236,0,0,0,0,0,0,1521,0,0,1521,0,0,0,0,0
uct-subprob.mp,0.0012,10148,102,2392,0,144,0,1309,0,0,0,880,0,48,750,48,0,282,0,0,0,232,0
wachplan.mp,0.0157,89362,6944,6496,0,6944,0,6496,0,0,0,0,0,448,224,448,0,224,0,0,0,0,0
air05.mp,0.2227,52122,52121,0,0,47535,0,0,0,429,0,0,0,426,0,371,0,0,0,5,0,0,0
assign1-5-8.mp,0.0005,3721,130,0,0,130,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0
blp-ar98.mp,0.0481,200602,15806,0,0,15806,0,0,0,0,0,0,0,913,0,913,0,0,0,0,0,0,0
blp-ic98.mp,0.0359,191948,13550,0,0,13550,0,0,0,0,0,0,0,627,0,627,0,0,0,0,0,0,0
